name,city,state,capacity,lat,lon
Smith-Hazel Recreation Center,AIKEN,SC,0.0,33.56470615,-81.71110203
Bloomsburg Area Middle School,BLOOMSBURG,PA,0.0,40.99170317,-76.45512235
LEBANON MIDDLE SCHOOL,LEBANON,PA,0.0,40.33375018,-76.42382594
Lebanon Middle School,LEBANON,PA,800.0,40.34478486,-76.4252109
LEBANON VALLEY COLLEGE,ANNVILLE,PA,3200.0,40.33103423,-76.51321855
Cram Elementary School,HIGHLAND,CA,1.0,34.11706974,-117.1564409
Joseph Lee Rec Center,San Francisco,CA,200.0,37.73465556,-122.39033323
Desert Winds High School,LANCASTER,CA,175.0,34.70099054,-118.12600897
Dingle Elementary School,WOODLAND,CA,0.0,38.67340387,-121.77708554
Discovery Bay Elementary,BYRON,CA,120.0,37.90089524,-121.59665456
Evergreen Recreation Center,LOS ANGELES,CA,0.0,34.03969208,-118.20523025
Francisco Middle School,San Francisco,CA,466.0,37.80482066,-122.41176407
Mann Middle School Complex,SAN DIEGO,CA,828.0,32.75624263,-117.07927007
LA PATERA SCHOOL,GOLETA,CA,1.0,34.44882065,-119.8466908
Clyde L. Fisher Middle School,SAN JOSE,CA,133.0,37.33626489,-121.83042433
Fitness System,NORTH HIGHLANDS,CA,450.0,38.69468183,-121.3829037
Fitzgerald Elementary,RIALTO,CA,50.0,34.16721594,-117.42666918
Healdsburg Senior Cent.,HEALDSBURG,CA,0.0,38.61057723,-122.86924919
Martin Luther King Jr. Middle School,MADERA,CA,0.0,36.96328008,-120.04565681
Southwestern Community College,Chula Vista,CA,4.0,32.64208269,-116.99419421
Denton civic Center,DENTON,TX,0.0,33.21650665000001,-97.1297444
ROCKRIDGE JR/SR HIGH SCHOOL,TAYLOR RIDGE,IL,0.0,41.38698218,-90.76527837
Burlington High School,BURLINGTON,MA,3790.0,42.4924648,-71.19378271000001
AYDEN MIDDLE SCHOOL,AYDEN,NC,370.0,35.4739938,-77.4302932
Springfield Local High School,NEW MIDDLETOWN,OH,0.0,40.95371581,-80.55021219000001
CITY OF MONTEZUMA FIRE DEPT.,MONTEZUMA,IA,0.0,41.58520175,-92.52239174
Hanover Area School District-Lee Park Elementary,WILKES BARRE,PA,100.0,41.22941197,-75.91581691
Wilson Park,COMPTON,CA,0.0,33.89622323,-118.21905283
Wilson Park Sports Center - Gymnasium,TORRANCE,CA,715.0,33.82763194,-118.32685456
Saint Denis Catholic Church,DIAMOND BAR,CA,0.0,33.98602953,-117.82581528
FRANK PAUL ELEMENTARY SCHOOL,SALINAS,CA,72.0,36.69454467,-121.60875943
Frank Wright Middle School,IMPERIAL,CA,500.0,32.85582456,-115.57011778
Frank Zeek School,UKIAH,CA,0.0,39.15928957,-123.21407624
Franklin Community Center,SANTA BARBARA,CA,72.0,34.42719195,-119.67983959
Ziegler Union Church,BREINIGSVILLE,PA,210.0,40.56089195,-75.6748076
Greeley Hill Community Center & Senior Center,COULTERVILLE,CA,20.0,37.74580715,-120.13142515
FIRST UNITED METHODIST CHURCH,TURLOCK,CA,0.0,37.50554428,-120.83005447
John Baldwin Elementary,DANVILLE,CA,48.0,37.80819312000001,-121.98463108
HOOVER HIGH SCHOOL,FRESNO,CA,0.0,36.81850721,-119.77223593
Hoover High School,SAN DIEGO,CA,525.0,32.75526237,-117.09836268
Herbert Hoover Middle School,SAN JOSE,CA,425.0,37.3322809,-121.92203826
Hoover Middle School,LAKEWOOD,CA,286.0,33.83970984,-118.1519724
Oakley Elementary,OAKLEY,CA,75.0,37.99484741,-121.71617446
First United Methodist Church,SAN RAFAEL,CA,60.0,37.97616849,-122.55038557
Evergreen Valley High School,SAN JOSE,CA,215.0,37.32555397,-121.77364114
Boys And Girls Club,SALINAS,CA,800.0,36.69396011,-121.64662989
Kennedy Gardens Elementary School,CALEXICO,CA,2.0,32.69016045,-115.49625646
JUNCTION ELEMENTARY,PALO CEDRO,CA,0.0,40.53892151,-122.23872552
Van Buren High School,VAN BUREN,ME,281.0,47.15864211,-67.93795817
CHANDLER HIGH SCHOOL,CHANDLER,AZ,1200.0,33.30887602,-111.84147468
St. Hilary's Parish,AKRON,OH,250.0,41.12489277,-81.60308446
SOUTHSIDE CHURCH OF THE NAZARENE,MUNCIE,IN,0.0,40.14938017,-85.4270377
Rockport- Fulton Junior High School,ROCKPORT,TX,0.0,28.04224836,-97.04503725000001
